Station,Time,Date,Rainfall (mm) (24 hours),Temp (º C),Rel Humidity (%),Wind Speed (m/s) 
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931002,0,16.4,82,8.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931003,0,16,78,4.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931004,9.8,14.2,95,2.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931005,0,17.8,81,6.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931006,0,15.2,87,7.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931007,0,19.6,73,5.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931008,0,16.4,86,5.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931009,2.2,23.5,52,6.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931010,0,14.1,89,4.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931011,0,16.8,85,5.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931012,0,17.6,75,6.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931013,0,16,78,6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931014,0,16.4,74,9.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931015,0,16.4,77,4.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931016,0,18.4,54,4.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931017,0,15.7,69,2.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931018,0,19,79,3.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931019,3.2,18.7,81,3.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931020,9.2,23.5,74,4.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931021,0,18,85,6.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931022,0,19.9,79,4.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931023,0,19,72,7.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931024,0,17.6,76,3.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931025,0,19.8,71,6.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931026,0,18.6,75,5.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931027,2.4,17.7,85,3.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931028,0,16.8,67,5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931029,0,19.2,65,3.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931030,0.2,19.6,72,7.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931031,0,17.6,60,5.2
